Date,Content,Rating,Version
12/7/2021,Recently my phone has been needing to be recharged twice daily. I was wondering what was wrong. Few days ago I turned off the Bluetooth tracing and bam. Only need to charge once every 2 days. So much for the bw claim saying it's low power.,2,6.0.0
12/6/2021,Shove it,1,6.0.0
12/6/2021,The app is broken. My camera nolonger works in it. I have tryed reinstalling the app with no luck. Just a black screen. The camera works fine in other apps and this is literally the onley reasion I use the app since the maunle writing part can be done at most places with pen and those forms.,1,6.0.0
12/6/2021,"It's quick to scan the apps, it's the quickest to set up with 1 click",5,1.5.1
12/6/2021,It would be useful to have this app linked to my covid record. NZ covid Tracer app does what it's supposed to though.,3,6.0.0
12/6/2021,Super slow and when you try and do manual entry it can never find the location,2,6.0.0
12/5/2021,I'm still waiting for to load ð©,1,5.1.0
12/5/2021,Does not work on my phone. Waste of time trying installing app.,1,6.0.0
12/5/2021,"Would be more convenient if the app opened directly into the &quot;Record a Visit&quot; QR reader screen, rather than requiring this as an extra step. Otherwise works well",5,6.0.0
12/4/2021,It helps All of as,5,6.0.0
12/4/2021,Will not work forget it and delete,1,6.0.0
12/4/2021,"This app does not work on a Samsung Galaxy S4 Mini, which is a deep disappointment. My mother does not wish to spend hundreds on a new smartphone when hers is not only working perfectly, but is also in mint condition in its case. Please address the issue of older and less-expensive phones requiring replacement with more recent cellphones. This is an incredibly high-cost-barrier to entry; I can guarantee that issues of this nature will particularly impact marginalised members of society, and especially those who cannot afford to purchase a new cellphone at this time, such as superanuitants, beneficiaries, and others on any form of fixed income.",1,6.0.0
12/3/2021,(Simon) (2020 NZ) (CHRISTCHURCH )(1(NZ) (COVID-19) (Tracer) (1)(2021)(2022),5,6.0.0
12/3/2021,Read NZ law on &quot;Bill of Rights&quot;.,1,6.0.0
12/3/2021,Easy to use and helpful,5,6.0.0
12/3/2021,Most phone cameras can't focus easily on QR codes closer 1m from lens. The developer of this app and many users don't understand this. The developer should reduce the size of the camera area on the screen so people hold phone further from QR signs to speed up scanning times.,3,6.0.0
12/3/2021,1 star while info page continues to talk about alert levels after we went to traffic lights,1,6.0.0
12/2/2021,Is this app used to get the pass?,3,6.0.0
12/2/2021,"With Windows reflection use Manual mode (with location) & a list will show, can be faster than scanning QR with glare or use inside code with no reflections.",5,6.0.0
12/2/2021,30% of the scans are not scanable,3,6.0.0
12/2/2021,The app is really terrible. Won't even download.,1,6.0.0
12/2/2021,Wo t let me install app remains pending download.,1,6.0.0
12/2/2021,"Works well for me, easy to learn especially for old people like me.",5,6.0.0
12/2/2021,A joke,1,1.5.0
12/1/2021,NZ needs it,5,6.0.0
12/1/2021,Very badly made app made by a very under qualified and useless health ministry.,1,6.0.0
12/1/2021,"Sometimes doesn't work. Takes too long to get to scanning page. Bluetooth tracking was on then mysteriously turned off, now cant turn back on.",2,6.0.0
12/1/2021,"I Really Like to Thought process that went into this app, I Reside in Canada ð¨ð¦ . I keep Diary records ,when I'm in the store and when I leave and compared to any possible exposures in the last week or two that comes out on our government website or on Twitter. This Should Be Standard App for All Countries Globally.",5,6.0.0
12/1/2021,"Works ok, but why does it use 50mb of mobile data per month?",2,6.0.0
11/30/2021,It is very important to have covid vaccion because to save life of all of us thank you,5,6.0.0
11/30/2021,Exceptional coverage of location tracing,5,6.0.0
11/30/2021,"Just an idea, can we have access to our vaccine passport code on this app aswell so it will be easier to scan n show passport code?",5,6.0.0
11/30/2021,It's the best app to have to keep safe,5,6.0.0
11/30/2021,Good experience with the app so far. I guess the only feedback i have is to add the vaccine pass. That will be greatð¯,5,6.0.0
11/30/2021,Auto scan doesn't work on redmi note 9s after last update. This has been broken for a month now.,4,6.0.0
11/30/2021,this is good,5,6.0.0
11/29/2021,Very slow,3,6.0.0
11/29/2021,why is this not availble for all devices? im not going to buy another phone just to get this app,1,6.0.0
11/29/2021,Good app but please make the vaccine passport a function within this app so everything is available in the same app. It's so annoying having to go to two places,4,6.0.0
11/29/2021,On older phones e.g. S5 mini the app could not function. Glare or reflection on glass or phone twisted will not help scan.,4,6.0.0
11/29/2021,Great. It help keep us all safe.,5,6.0.0
11/29/2021,"Just installed ahead of moving back to NZ. It doesn't include a vaccination certificate, as that seems to be in a different app. It doesn't seem connected to a realme account. NSW gov app has QR check in, real ID, vaccine certificate and more (vouchers) all in the same app with biometric sign in. With the misguided Bluetooth that bars usefu ID related capabilities, this seems the same as the Australian government app that has been a failure.",1,6.0.0
11/29/2021,Some scientists in China altered a virus and were responsible for incompetently letting it escape from their lab and now you have to put up with this covid bs,1,6.0.0
11/28/2021,Very good,5,6.0.0
11/28/2021,Great way to track our movement,5,6.0.0
11/28/2021,Required by fascists.,1,6.0.0
11/27/2021,Poor,1,6.0.0
11/27/2021,takes a long time to open,3,6.0.0
11/27/2021,Good,5,6.0.0
11/26/2021,Usually easy to use,5,6.0.0
11/26/2021,Very good app. Bypassed having to go into my phone everytime by putting the icon on my lock screen. Very easy to adjust the time if I am entering a location manually. More frustrating trying to scan a place if they have the scan poster in the sun so not the apps fault.,5,6.0.0
11/26/2021,Yea na,3,6.0.0
11/25/2021,I don't want any of my activities made public ð«,4,6.0.0
11/25/2021,Great to protect NZ. I use it everywhere I go. Vax - A - Nation!!,5,6.0.0
11/25/2021,Has stopped scanning. How can I update the app?,1,6.0.0
11/24/2021,Why can't I put anything in for my record. Maybe the server crashed or something but its been a while now ð¡,1,6.0.0
11/24/2021,This Covid tracer app takes six steps to reach and I cannot bring up the covid tracer more quickly than the six steps described to reach it.,1,6.0.0
11/24/2021,"This app turns my Bluetooth on without my permission, you guys need to fix this, it kills my phone and turns it into a brick",2,6.0.0
11/23/2021,Absolutley love the app. I just go to scan and it doesnt work then i still walk in and everyone believes ive scannedð,5,6.0.0
11/23/2021,Awesome feel safe,5,6.0.0
11/23/2021,"Terrible app, takes a long time to open, doesn't scan QR codes so have to do manual entries (yes my phone can scan QR codes). It starts running processes on my phone, so I have to go into settings frequently to force stop the app. Getting close to removing from my phone as it is taking up storage space that could be better utilised by an app that works.",1,6.0.0
11/23/2021,"Hi, Would you please consider adding My Vaccine Pass to this app so I do not have to carry around a vaccination card on a flimsy piece of printer paper? Many thanks!",1,6.0.0
11/23/2021,Xxxxddrdee,5,6.0.0
11/23/2021,"Farkn sheeple! 2017 saw 871 nzers die from influenza, 2015 saw 900+, so why the huge push to get us all vaccinated for 'something' that apparently has killed ONLY 40 people (one was shot dead, then the govt put it down as a covid death)? This situation stinks of lies and corruption against the freedoms of people. Research how mRNA can be affected by sound waves. The Havana syndrome was reported by US soldiers who recieved a 'vaccine' in 1918 then died of 'Spanish flu'!",1,3.0.2
11/23/2021,Slow and sometimes has to be restarted before it will scan.,3,6.0.0
11/23/2021,The app scans the QR near instantly. Only wish would be that it intergrated the vaccine pass into the app.,4,6.0.0
11/23/2021,Would be good if you could link your covid vaccination pass and any tests youv had on this app so you have every thing you need in one place,5,6.0.0
11/22/2021,Very good,5,6.0.0
11/22/2021,Dog shite app,1,6.0.0
11/22/2021,I thought it was free to use but it's not. Uses your mobile data or WiFi to scan qr's won't work if we don't have mobile data credit.,1,6.0.0
11/22/2021,"It's terrible, it stops my phone from being able to connect to my car's Bluetooth, and I get a error message on my phone when trying to turn the phones Bluetooth on or off, it Auto starts in the background without permission too.",1,6.0.0
11/22/2021,Simple and straight to the purpose,5,6.0.0
11/22/2021,"Honestly I've given up on this app, I tried so hard to fill in my covid vaccine information. But it kept saying invalid email, it won't allow me to use the app to update my info.",1,6.0.0
11/22/2021,ðð¦,3,6.0.0
11/21/2021,Great app works perfect,5,6.0.0
11/21/2021,works fine ...usually. inside and on tables best. on windows from outside still hit and miss.,3,6.0.0
11/21/2021,Excellent app you've got to be a back to pen and paper dinosaur if you can't figure this out. Said in a caring way obviously.,5,6.0.0
11/21/2021,Easy to use,5,6.0.0
11/21/2021,Good,5,6.0.0
11/20/2021,"NZ Labour government under Jacinda Ardern is imprisoning 1.5 million Aucklanders since 17/08/21. Majority vaccinated, following rules, using app... This is brutally violating Human Rights.",1,6.0.0
11/20/2021,Very good,4,3.0.2
11/19/2021,Excellent,5,6.0.0
11/19/2021,kakadownload pa lang pinaparate nyo na ano kaya yun?,5,6.0.0
11/18/2021,It's fine ... does the job it's meant to do. Would there be any chance a future enhancement might include an &quot;upload a file&quot; feature to allow you to save your Vaccine Pass in the same app rather than scanning then having to find your Vaccine Pass elsewhere? This will speed things up when we all start moving again over the summer months.,4,6.0.0
11/18/2021,Just good to know that we are being protected no matter what we are going threw,5,6.0.0
11/18/2021,Add vaccine pass please,4,6.0.0
11/18/2021,I had tracer app on my old phone and I wouldn't be with out it as don't want covid and if in a place of interest they will let me know thanks for the tracer app great job to who ever thought of it please guys get your vaccine keep our children safe,5,6.0.0
11/18/2021,Bundy and for gronks,1,6.0.0
11/17/2021,Best app great for tracking virus,5,6.0.0
11/17/2021,I hope I get covid thnx,5,6.0.0
11/17/2021,"Hi MOH, is there going to be a way to upload the vaccination pass to the app for ease of use?",4,6.0.0
11/17/2021,It is reliable now,5,6.0.0
11/17/2021,Good,5,6.0.0
11/17/2021,Level 2 level 1,5,6.0.0
11/16/2021,At this stage I think it'll be easier for me to get a negative Covid test before leaving the Waikato than downloading my Covid vaccine proof. Constantly showing an error or stalling on processing my request. Don't think the Ministry of Health has prepared well for the traffic.,2,6.0.0
11/16/2021,How do you get the vaccine passbook,5,6.0.0
11/16/2021,Updated to 4 stars Latest version works well,4,6.0.0
11/16/2021,Could have a better UI that has your vaccination status but other than that it serves its purpose well,4,6.0.0
11/16/2021,Doesnt work well on my vivo phone.,1,6.0.0
11/16/2021,Great app HELPS KEEP NEW ZEALAND SAFE,5,6.0.0
11/16/2021,Been to a few places and it doesnt work.. waste of time,4,6.0.0
11/16/2021,"I would have rated this higher if I could use it on my phone. It does the job (on my tablet) but my Galaxy J2 is not good enough for this app. Therefore, the developers have excluded a bunch of other people just like me who are not able to get a phone that is good enough for this app = 1 star for you.",1,4.1.0
11/16/2021,Anyone know why my phone no longer connects to my car since I downloaded the app?,3,6.0.0
11/15/2021,Ok for scanning into businesses but terrible when trying to log into using email,1,6.0.0
11/15/2021,most useless app. cant add manually,1,6.0.0
11/14/2021,Fantastic app for these covid times,5,6.0.0
11/14/2021,"Spiffy appb, top skills team.",5,6.0.0
11/12/2021,Slow,1,6.0.0
11/12/2021,My covid app has disappeared When tapping on it to open,1,6.0.0
11/12/2021,Good one,5,6.0.0
11/12/2021,Can we have our vaccinations linked and recorded on here as well please.,5,6.0.0
11/11/2021,Very good to use,5,6.0.0
11/11/2021,Much better,4,6.0.0
11/11/2021,NZ Covld 19,5,6.0.0
11/11/2021,Great way to keep trace of where I have been,5,6.0.0
11/8/2021,It's obvious that from the reviews a lot of people don't know how tech works. If there's glare on the qr code from the sun the scanner won't be able to pick it up properly and the app isn't slow it's just your phone. The app opens really fast for me.,5,6.0.0
11/7/2021,"KiaOra absolutely loving this application, so far! its awesome & amazing how it has been set up to track & contain this evil ð¤®*COViD19ViRUS*ð¤®..i'm getting quite a pro now signing in to place i visit daily & even putting my addy in manically on thee days when i'm home,OMGUDNESS!i so am liking & enjoying it heaps,the best about it thee most,is that ya don't need wifi or data,well any credit,whatsoever,&quot;YES THATS RiGHT,iTS TOTALLY TOTALLY TOTALLY ððððFREEððð OF ANY CHARGES..Thanks Heaps..",5,6.0.0
11/7/2021,Because it helps people,5,6.0.0
11/7/2021,Yes. Deaf,1,6.0.0
11/7/2021,Good,5,6.0.0
11/6/2021,"Waste of time, more a hinderance with notifications all the dammed time",1,6.0.0
11/6/2021,COVID Tracer app is so great with scanning QR codes.,5,6.0.0
11/5/2021,App is lagging. Will not open to scan in. So frustrating.,2,6.0.0
11/5/2021,Very handy app,5,6.0.0
11/5/2021,App is really annoying and fillings in days missed takes ages no multiple option for places you go to multiple times a day and multiple days a week,1,6.0.0
11/4/2021,Needs a dark theme added to it,5,6.0.0
11/3/2021,Too data hungry for most.,1,6.0.0
11/2/2021,Excellent app Still the odd fluff up with some laminated plastic covers but getting there. Can't use the bluetooth because it runs down my battery.,5,3.0.0
11/1/2021,Waste of time. Covids man made. Just let it happen. It will disappear like every other pandemic every 100 years.,1,6.0.0
11/1/2021,Good,5,6.0.0
10/31/2021,"Hey app is good and I use it all the time bit wanted to throw out an idea that would make it much more user friendly, a big complaint of people I'm sure. I know it may be a bit awkward to allow the phone privacy permissions for this but it would be really great if you could make it somehow be used as a lock screen background. It would be great to be able to scan in places by just pressing the power button, having the scan work while on the lock screen and then being able to simply turn off. Ty!",4,6.0.0
10/30/2021,Doesn't tell me where to go to catch covid,1,6.0.0
10/30/2021,"Would really like to be able to change the time of an event, especially if adding in something manually!! It's frustrating an hour or more makes a big difference to whether you are there at the time of others, it's normally for when a QR code doesn't work or have one like friends place. Also am i the only one who also thinks of their exit time from a venue? I tend to put it in the notes. No way am i going to remember clearly if asked by contract tracers how long exactly i was in each venue for.",4,6.0.0
10/30/2021,This app is playing up for me all of a sudden it will always turn sideways no matter side I hold. Uninstalled it. Found another review on here so they are using a different app Rippl which opens fast and scans fast.,1,6.0.0
10/30/2021,"I have no problems with the App, given we are all in this together why does a few seconds of people's precious life matter when they pause to scan in.",5,6.0.0
10/30/2021,Latest version works great!,5,6.0.0
10/30/2021,Mikkie Level 2,1,6.0.0
10/29/2021,"Works fine, everyone else complaining needs to get a phone that costs more than $5 and learn to use a mobile.",5,6.0.0
10/29/2021,"Thank you for this excellent app. I just wanted to make a small suggestion please. If there is a way to incorporate the proof of vaccination, that would be a great addition to this app. Hope you can consider this. Thanks!",5,6.0.0
10/29/2021,Feels good to use,4,6.0.0
10/29/2021,I always scan in everyday and night cos it keeps me updated of wea I been and stuff,5,6.0.0
10/29/2021,"I lost my NZ COVID Tracer app. It got deleted off my phone. So, had to download it again",3,6.0.0
10/28/2021,Excellent,5,6.0.0
10/28/2021,Was running very slow. So I reloaded the app is running way faster but I have lost my diary records.,2,6.0.0
10/27/2021,M345,2,6.0.0
10/27/2021,Basic,2,3.0.1
10/27/2021,Don't get the point was a close contact but the app never told me I had to hunt to see if I was or not and sill had to click on the day to find out.,1,6.0.0
10/26/2021,Very good for maintaining your every day activities. Tracking keeps us safe within the public ðï¸ and taking notes on what you been up to during the day,5,3.0.0
10/26/2021,I am fully vaccinated now for the sake of my little family. I intend on keeping my baby alive as long as i can. Now i will go out and use this app for the first time.,1,6.0.0
10/26/2021,Slow to open if at all.keeps saying I have to have Bluetooth on but shop says I don't??,3,4.1.0
10/25/2021,I love using this app and in a habit of using this it. I have found that it takes 5 to 10 seconds just open the app and then it takes 5 seconds just for the camera to turn on. Also it glitches which is annoying and wastes time. I have nothing wrong with my phone and my phone storage is not full. I have updated the app and my software it up to date.,5,6.0.0
10/24/2021,"Doesn't open the scanner by default, opens the dashboard now instead",2,6.0.0
10/24/2021,Nice app.,5,6.0.0
10/24/2021,Easy to use for scanning qr codes. Can also manually input visits if you forget to scan or just visit friends etc.,5,6.0.0
10/24/2021,Stupid bloody thing keeps crashing all the time,1,6.0.0
10/24/2021,It plays up quite often just to sign in,3,6.0.0
10/23/2021,Be handy knowing when out doing errons,5,6.0.0
10/23/2021,"A great app, but such a pity that it isn't going to include one vital feature - internal support for vaccine certificates! Why build a whole new app for that when it should be part of this app?",4,6.0.0
10/23/2021,Excellent,5,6.0.0
10/22/2021,I have been using this application as soon as it first came out. This app is very helpful and important for the whole world in order to help people and keep an eye on their whereabouts so the Government can check to see where people are at certain times incase there's a outbreak in that area,5,6.0.0
10/22/2021,"Very good and easy to use. Although i have had a couple of problems with some QR codes when im trying to scan them. In some cases i have to try more then 1 QR code for a store just to try and scan in, but i am not to sure if its my phone playing up or the QR codes as i have been told by some stores that there codes have been playing up when other people try and scan in with it.",3,6.0.0
10/21/2021,Absolutely superb.,5,6.0.0
10/20/2021,Trying to apply scan app not manual app,1,6.0.0
10/20/2021,Is there a widget?,5,6.0.0
10/19/2021,Works great but it shows a notification &quot;checking exposure keys&quot; that never goes away and can't be dismissed,4,6.0.0
10/19/2021,Good,5,6.0.0
10/18/2021,An error occurred while trying to handle your forgot password request,4,6.0.0
10/17/2021,"Hmm it's like reporting the daily news, who what where. I wouldn't want this app, for me it's a total nuisance. But for covid-19 you can just use pen and paper. Out of 1 to 10 I'd give it a 10.",1,6.0.0
10/17/2021,Average,1,6.0.0
10/17/2021,Deaf,1,6.0.0
10/16/2021,Can you add an up-to-date map of New Zealand covid levels. As it is extremely had to find online and also I would like to know when I can travel and where,2,6.0.0
10/16/2021,COVID tracer is really good. But some time does not scan . So you have to put in by hand .,5,6.0.0
10/16/2021,Haven't had any complications with this app,3,6.0.0
10/16/2021,Best thing to have,5,6.0.0
10/14/2021,Should be prioritising sign in scans. Needs to load faster and do better at reading qr codes.,3,6.0.0
10/13/2021,Good,5,6.0.0
10/13/2021,Good,5,6.0.0
10/13/2021,It does it's job I guess since I've only used it for about a week lol,5,6.0.0
10/13/2021,"Good App, woks well.",5,6.0.0
10/12/2021,It is what it is. Have to use it so I keep it simple ð¯,1,6.0.0
10/12/2021,Doesn't work,1,6.0.0
10/12/2021,Does what it's supposed to do,5,6.0.0
10/12/2021,Does the job. Slow to open tho,3,6.0.0
10/12/2021,Stay safe,5,6.0.0
10/12/2021,Slow,1,6.0.0
10/10/2021,Is a good app,5,6.0.0
10/10/2021,It's really good and I like that I can add after I've been places or before ect so if I don't remember when I'm at the location I can add that I was there or I'm going there,5,6.0.0
10/10/2021,Data collected is being sent to moh privacy violation,1,6.0.0
10/10/2021,Very good,5,6.0.0
10/9/2021,Very good must have,5,6.0.0
10/9/2021,$7387 to vwws set e e eee I haven'tw no#ugh noh 5fa no tttetbba byat eee e totw aww e eeeh,3,6.0.0
10/9/2021,Won't download,1,6.0.0
10/9/2021,slow but working ok,3,6.0.0
10/9/2021,"Sick of this app. Ive downloaded it so many times because it doesnt appear on my home screen. When I think its working, i cannot find it when I go anywhere and have to manually sign in. Ive got a Samsung Galaxy j5 and cannot afford a new one if thats the reason for the app crashing. Damned sick of it!",1,6.0.0
