content,sentiment_labels
scan quickly even offline gives daily updates national state level would good deliver mukim level info also,2
Goog site hppy,2
easy use saves time,2
useful helpful,2
awesome,2
awesome,2
almost malaysian originated apps head aching problems difficult register etc,-1
user friendly,1
nice,1
Love the app!!,2
make day easier,2
useful app wish features part purchasable add ons least pricey monthly however general allows add signatures comments pdfs share definitely super reliable piece software phone,2
nice app,1
useful apps covid tracking,2
thank moh related entities keeping us safe instilling good practices personal communal wellbeing salute frontliners caring malaysians,2
user friendly,1
update cannot check places check please fix problem future arise consider change stars app better,-1
redmi users mysejathera stills yet update pls make faster tq,2
user friendly get hold latest covid information easily,1
well operation information covid situation help malaysian structurusing daily needs news,2
great way monitoring safety,2
Very smooth running ...awesome app that gets you almost every beauty product to personal care product you can imagine...,2
initially app difficult handle n unfriendly quick respond n friendly,1
like,2
like,2
far good,2
commercials ever seen app even upgraded version unlock episodes episode commercials breaks commercials time love e way watch hour episode hour half still want watch,2
easy n convinience,2
easy use software,2
worse cant even login,-1
registered new account attempting login id password sejahtera app showed error invalid id password hosting app company government really bad support low specification hardware,-1
easy use,2
lepas tukar hp tak boleh login nak buat apa ni dah masuk password tak boleh nak tukar password pun tak boleh please advice dahlah semua benda nak kena tunjuk apps ni,-1
great helpful,2
ok,1
best,2
cant login shows id password invalid time,-1
latest update check removed great also tracer thing nice good job,1
excellent apps,2
worst service ever... maine 5 products order kia.. aur mila 4 products... I'll never order anything from nykaa,-1
I ordered few clothes and since they don't fit me I wanted an exchange of size or return the order. But the customer care refuse to take the order back or exchange the size. This is so unacceptable. If that's that case then stop selling clothese on your site. What am I supposed to do with clothes that doesn't fit me at all?,-1
ca update health status log reset uninstall still update n log stupid bluetooth really pissed drain battery contact superb upgrade mysejahtera give back old mysejahtera rather check check,-1
Most useful app,2
best,2
good,2
ca wait cases published,1
nice,1
easy application,2
I had a very bad experience with nykaa. I got fake product,-1
come app new updates checking checking thanks,2
good job,2
fake new poor excuse noble profession pathetic,-1
excellent,2
dont remember pwd cant recall using either mobile email,-1
informative,2
easy use hassle free,2
ok,1
mysejahtera nie problem tull laa nk login tk bqole ape tk bole yaampunn menyusahkan btl laa,-1
great app,2
Simply superb,2
samsung cant check got solution,-1
Wonderful experience,2
violating google play store rules even worst violating users privacy bad apps developed malaysian government,-1
great apps,2
game sucks freezes ca play many problems mention ad like game plan playing delete asap please want sain,-1
app useless sejahtera doesnt work fully dose sejahtera tell vaccineted,-1
great app looking forward many years use,2
I love Nykaa and it's products.... keep growing and prospering,2
want register mysejahtera cant register says otp invalid got real otp message,-1
application easy use really makes feel secured,2
ok,1
good,2
nice,2
Awesome,2
good,2
nice,1
excellent,2
One of the best app for Beauty product.,2
cant register,-1
wow wow wow,2
ok,1
app ni okay je yang tak okay tu saya,1
stupid app,-1
great,2
loved it,2
okey je cume mm,1
error devices already tried still cannot remedy register dependent name guardian however need remove cannot dependent list remove dependent button x missing cant anything dependent cannot register smart phone support nobody help helpline cant help go get resolved complain mcmc,-1
"Not letting me sign in or register with any option. Says login failed, facing internal error, trying since morning. Bad experience.",-1
helpfull,2
good,2
ok,1
helpful identify hotspot thks,2
mysejahtera system tried since yesterday problem still send problem helpdesk need reset password email,-1
nice,1
I like the app,2
ok,1
I loved this app. Get best product and product delivered before expected time,2
need continously type name forth,-1
better nice see solve bug keep,1
takes money different rates coins went game lost round come moneys gone also offers get coins dont get fix glitch idiots want coins back,-1
best,2
easy use,2
bad app good app,-1
ok,1
verry good,2
excellent app,2
ok,1
saya dah cuba banyak kali untuk register tapi masih tak boleh please help,-1
excellent service tnx,2
good,2
nykaa best place beauty brands loved,2
branded products still missing,1
friendly user app,1
user friendly,1
please help mysejahtera cannot log even uninstalled many time,-1
freezes often call someone restart phone every time happens,1
ok,1
Amount got deducted but order has not placed and not able to see order history as well.,-1
semuanya okay memang terbaiklah,1
excellent apps friendly user,2
Its good uses AI health care. I sometimes get misguided results based questions asked (as said doctor),2
stupid application cannot log,-1
Affordable,2
great game contains many bugs struck playing suggest many unnecessary displaying middle game today played game even game declared opponent winner eats ram internal memory cache makes smart phone lag,2
excellent successful,2
useful without internet,2
parcel damaged choose lipstick shad send different shades,1
secure informative may suggest consider add one function report function user us send report business owners especially restaurants service line waitress chef kitchen helpers even owners compliant sop example wearing face mask wearing wrong way serving food customers etc thanks,2
im using phone number register cant recieve otp code,-1
ok,1
excellent,2
best cosmetic shopping app,2
diagnosed degenerative disc disease exercise best thing help symptoms needed something simple start perfectly simple,2
poor malaysia app done registration cannot log bad app,-1
great wish unlocked shows,2
saved life william saint present future,1
cant fill otp,-1
update seems awesome app could scan even meter apart,2
love,2
easy convenient,2
great apps successfully registered vaccination,2
lovely,2
things loading properly saying request failed,-1
im new app,1
Don't buy products from here!!!! A big no!!!!! It sells fake!!!! Nykaa shows genuine products on site but sends across fake products!! I'll request all not to buy!!! I bought a lakme pallete for my mother and a nyx lip puff for myself. Both turned out to be fake!!!! So please beware!!!,-1
everything going smoothly,2
ok,1
faster,2
easy use fast loading,2
cant register number like seriously,-1
smooth,2
"Ada helped put mind ease assisting clarify symptoms. After I read suggestions, made perfect sense I'll seeing doc soon figure what's going on. The good tool guide next step getting medical attention. The interface simple, easy choices select too. Thank FINALLY giving option better WebMd!!",2
ok,1
status doesnt change fully vaccine,2
bad,-1
let download app please,-1
ok,1
usefull,2
nice,1
completed home isolation status still show cat confirm cases submitted thousand times still status please upgrade system date quarantine finished auto refresh page even click thousand time refresh status still timestamp working,-1
ok,1
thank,2
nice,1
ok,1
great,2
Replace is very bad,-1
useful app,2
nice,1
great apps,2
Superb,2
Loads of love nykaaa,2
informative,2
Dabba app not supporting update.,-1
great apps grateful improvement,2
very poor service. pls change ur delivery partner wow express.,-1
really nice beauty assistant also helps lot,2
im getting white screen whenever open app please fix got vaccination appointment coming soon,-1
works great especially going grocery store,2
update latest mysejahtera application becomes slow,-1
great app malaysia take care everybody country including foreigners greeting government effort wish development,2
nice many gals users friendly great easy use,2
kind useless app get ready first launch la typical want us send screenshot lazy try damn,-1
easy use,2
excellent,2
good,2
love,2
thanks best mb thanks,2
always say fail restart need clear history,-1
I am not able to use nyka even after updating the app.,-1
easy use,2
friendly user,1
"Bakwas app I had placed the order on 1st July nd they told time with in 2 
to 3 days u will get ur delivery but till now it's 13 of july they are 
still packing the product itslf....cheaters...If we spk to customer care 
they tell us dnt worry ma'am ur product will reach u.....bleady freekng kab 
marna ka baad Mila ga kya product....plz dnt trust ths app",-1
fast safe,2
alarm worked days uninstalled,-1
best app,2
The best app for the best beauty products ....!!,2
Most used app on my phone basically,2
nyc,2
Authentic products and wide range,2
really pround guys,2
okey,1
superb,2
really helpful apps,2
bad update login always come connection error,-1
easy cool nice added love much used times edits,2
want update apps,-1
this is the only one online shopping app which provides real products. nykaa always my first choice. love this app.,2
love jaga ingat mesti covid mysejahtera,2
I loved it,2
super,2
bad exp using app,-1
awesome,2
okla,1
like love new version checking update,2
convenient fast,2
really hope open multiple pdfs also one time added many notes text pdf option saving changes closed pdf said saved opened document changes document gone bit upset caused said changed already,2
great app,2
fast scan,2
friendly use,1
poor,-1
relogin trying weeks reset password still issue cant login since feb emailed helpdesk still issue register another hp mentioned mykad already registered system help please,-1
good,2
easy us tyvm,2
nice,2
strange sure knew showing youtube english speaking tubers maybe confusion sure nice,2
cant get vaccine appointment till,-1
excellent fast date,2
excellent,2
excellent,2
please update system user click refresh shown automatically update dd mm yy profile date user refresh easily,-1
bad,-1
excellent,2
ok,1
bagus,-1
easy access,2
system slow,-1
common functions acrobat pc joint users provides cloud distinct author services commenting avoid confusion wish setting called author renamed commentator needs sort commentor function clear function remove annotations bookmarks comments,2
app getting bit slow,-1
quick delivery,2
user friendly app,1
I am very disappointed. Mene 1100 toh lge hi mgr 5000 faltu k lag gye. Ap logo ne lockdown Ka achhaa fayda uthaya hai. Mene jb product order Kiya toh mujhe Yaad aya k mene apna Purana no. Edit krna bhul gyi kyuki wo number kho gya hai. JB mene online payment ki thi 1100 ki online payment bhi ho gyi. But number Nahi edit ho paya mene bhut kosis ki but kuchh hua Nahi so mene aj online Google se nykaa Ka no.nikala toh usbande ne bola k me nykaa se hun or Mera naam Rahul Sharma hai or apni I'd v bta,-1
easy use,2
ilike,2
bad app installed new vision cannot logout cannot update,-1
Worst service,-1
like info android topics,1
helpful useful apps current pandemic situation hopefully apps still using multiple purposes,2
suggest government trace detect history current covid cases location hotspot tracker sejahtera apps ensure warning alert people surroudings aware precautions users stay updated avoiding enclosure red zones positive covid area hopes suggestions reasonable priority users facilities really kindly appreciated useful apps secure protections gives reliable info,2
sake mental health dear devs team please respond notrouble log issue asap hinder ability go work la like supposed link reset password given phone number email address given please lah make anything related government seems bad super slow take action sudah pon takkan slow,-1
gr app gr products,2
Shopping wid nykaa is always superb experience,2
satisfied shoping nykaa,2
easy use informative,2
best best best,2
new id pass everythink everybody everyday eveready,2
useless keeps saying network error even begin definitely network connection,-1
trying upgrade cannot upload delete,-1
easy interact well selangkah even though says intergrated,2
love love love,2
ok,1
"They give something wrong every time, there is no call support, chat support is sad, they assign a person very late and you ar supposed to sit with theapp open in your hand or you won't get chat notification as well. So disappointed with their service and app. Never will be ordering post this.",-1
would really love one updates show article clicked receive notification frustrating something look thru list disappointed article,-1
Average,-1
bad,-1
Network is very poor,-1
superb awesome,2
poor know register app please check problem,-1
good really love,2
father phone xiaomi redmi note unable update mysejahtera app age still receive vaccine dose update app problem,-1
much convenient user friendly app,1
The yfgfycycyyc to ycyz Rd yd do us Motu patalu given me the link and it was a pleasure i icys you I k for by using,2
ok,1
Just love it,2
apps run smoothly update,2
Wonderful app...makes life easy.,2
excellent,2
thr best,2
good,2
grateful makes life easier,2
great,2
hello admin way mysejahtera canot invilad id update check login finish update cannot please tak note tq admin,-1
disappointed mad account logout otp coming help desk useless even press submit shake head facepalm,-1
excellent,2
adobe best pdf reader even think easy features provide completely owe love books app would recommend every book lover,2
easy fast,2
fast check,2
nice,1
people pay u stupid app u take people money give suck app shame u,-1
best products love u nykaa,2
bad easily scan update info,-1
great interesting useful application like,2
using years everything want reader,1
love workouts app calorie burn statistics way unrealistic burn calories minute workout,1
easy use,2
useless dont create app cant handle high traffic,-1
awsm,2
cannot upte,-1
"Don't buy from nykaa. They sell us fake and copied products..i got one..and they deleted my comments from there page..and not trying to contact me... Ask me more i have pruff ""Instagram ID"". _you_are_ugly_but_i_",-1
every information need season covid,-1
nice,2
bank years love son bank get paid sooner always know spend charge fortune like banks,2
good app,2
stupid system ever many times request change id also response,-1
informative,2
Very bad experience. Poor customer grievance cell. I didnt recieved my kajal. Sent many complaints via mail but no response. Pathetic service.,-1
ok,1
send otp many time cant submit register say invalid otp,-1
everything good late delivery,2
easy use excellent application,2
cannot enter mysejahtera old hand phone still,-1
love edits cheap looking super quick makes pictures look amazing,2
great,2
cannot reset password stupid developer,-1
already write yr helpdesk details problem since th may ask try standard steps tried many times dont understand pronlem cannot resolve problem,-1
latest version slow updating status submitted heath declaration form boxes covid self test also cacar marba seems like coding working glitch etc short lambat naww dulu laju,-1
hye mysejahtera instruction given update apps updated instructs allow location turn bluetooth seem work please quite annoying please improve asap burden us,-1
bad control apps,-1
good,2
may developer update line huawei app store version mysj trace believe convenient communities go tracking notify around person covid intact without needed check,-1
Worst experience ever. I ordered 3 products from nykaa for the very first time but 2 out of 3 products were totally damaged. Will never order again from nykaa. Its better to buy from the stores. Price may be little high but ateast you wont get damaged products.,-1
genuine products,2
great,2
nicee,1
good,2
well done,2
much easier faster entering stores mall,2
hi problem using mysejahtera apps update last night cant scan pls help uninstalled n istall back,2
bagus,-1
Awesome...I love It,2
I loved it,2
every time want scan slow,-1
fastest way get news covid near,2
easy use,2
very very poor customer service.. bad experience.. delivering package date was on 16-20th october and i called them on 27th to know about delivert.. they promised me to deliver it till 29th..today is 29th.already late for more than expectations and terrible delivering services.. hated this app. going to delete this app. they take order only for advertisement n money.. but delivering is bad as hell.. i think may be they'll take more time maybe 1 month or may be 1 year... not at all trustworth app... poor very poor services.. customer call services are worst.. they lie to customers about delivering package and all.. and there shipment company is sometimes very poor.. this was my first time to order... n surely the LAST ONE.. DELETING THIS APP!! Nykaa sucks!! today is 30th october and in Nykaa customer service one lady lied to me that they tried to contact me and the other lady lied to me that my package is on still in BLUE DART courier due to any natural disaster.. lol natural disaster is occuring only in their office!!,-1
useful responsive nice touch improve phone usability limitations due security lock screen,2
hi anyone assist delete dependents id person cert display sejahtera id helpdesk help solution provided make sense since remove dependent option app,2
updated app yesterday cant even click check button since also vaccination status didnt show suppose use please kindly fix issue asap,-1
found important,2
"BUGS-Used abnb multiple times, Europe good, Toronto too. But soon problem Montreal (cockroaches) refused refund us offer compensation hotels could get last minute (that get result shitty clients).",2
stupid apps,-1
good apps,2
user friendly,1
easy n helpul,2
download app many months ago time use oppo try register receive otp enter otp app say invalid otp thought phone problem switched iphone problem please help,-1
ok excellent,1
huge variety branded products easily available,1
easy use,2
bloated poor performance interface smooth takes seconds launch even newer phones something used millions times day effort put optimization,-1
fabulous app,2
tested positive covid aug status even updated date cant login app today wonderful,-1
think best far,2
apparently cannot open pdf file onan android opened ycloud account matter igetneedsadobereaded dc mac windows point global pdf viewer functional much touted devices used able open goddam file click apparently upgraded malfunction norm,2
Best online store ever,2
Love nykka,2
really great app annoying rings sold items still displayed much choice hard actually pick thing,-1
response slow,-1
good,2
fake fake,
nice app,1
safety reason useful,2
Simply superb...fast delivery...authentic products...thank you Naykaa,2
"Ordered a lipstick , came damaged . Returned the product 20days back 
haven't got the refund yet .worst service . would never recommend it to my 
family and friends . Uninstalling stupid app.",-1
far issues app truly useful trying times,-1
loved to shop,2
recognize numbers long distance operator code brazil contacts long distance code fixed rate five stars,1
cannot open yesterday today cant open,-1
ok tapi bantuan bagi banyak lagi,1
mazedaaar,2
like much,2
thank much apps,2
ok,1
ok,1
excellent,2
love application im fun thank ha,2
ok thank mysejahtera,1
good nice,1
mysejahtera easy use,2
worst,-1
nice,1
wonderful experience,2
"great cosmetics experience..loved it,!!!!",2
good,2
nice,1
cant even apply vaccine,-1
pergi ppv nak vaksin apps problem plak last cancel je appointment senang citer x payah vaksin pi mampus dgn covid kerajaangagal apps bodo,-1
ok,1
So must coast,-1
love,2
thanks advice downloaded adobe reader still get recipe book,2
easy use problem far,2
completed vaccination still shown vaccinated could please updated tq,-1
Makeup heaven,2
great use nykaa products,2
awesome,2
ok,1
ok,1
helpful someone clumsy like,2
cant even use register page use budget given upgrade server high capacity use tsk,-1
Totally fake app.....send wrong product n now listening...plz don't purchase anything from dem,-1
easy use could register temp also,2
informative updated,2
Best and genuine app to shop with... I love to shop through this app.. But for frequent users there should be some gift.,2
friendly,1
easy use,2
need log back existing account cant password back current service slow please fix,-1
best app hands love variety sample meditations choose mediation intro read prepare whats come duo dynamic oprah deepak force reckoned thank helping become best sel full review,2
i love its packaging. products are genuine,2
Bad customer service/ No transparency in order tracking. These guys have a third party courier service. When i contacted them they couldnt help me with the delivery person's number either. U will have no idea where your order is unless it is delivered at your door. Please improve on this part.,-1
please put notification tap,-1
respond still problem sejahtera,-1
poor apps,-1
Love the app.,2
hell lot easier thought would,1
problem scan,-1
stupid app update second dose programmer tidoq kaa,-1
hopefully work well first time user,2
mysehahtera convinent n user friendly,1
accurate information reliable tracking,2
great hassle free way order contacts got call reminding prescription expires tomorrow,2
Gorgeous,2
cute,1
excellent job,2
good,2
Criket,-1
good,2
awesome,2
nice products,2
nice,1
Prices are very high!!!!!,-1
ok la convenient,1
hit miss try open galaxy need busy work schedule times unable open turns screen black times app would nice worked properly,2
great,2
stupid app even submit,-1
usefull apps,2
best app ever,2
kali saya tekan submit untuk forgot password tapi tiada respond poor application,-1
best,2
wish knew people covid near us,2
ok,1
nice app,1
unusefull please repair working install,-1
stupid apps,-1
Awesome app for buying beauty products. I just love this app.,2
log bad system,-1
awesome,2
"Absolutely useless. Dont purchase anything people from nykaa. I had a order and its been over a week since the expected delivery time and the product has not been delivered. It is shipped though and thus I am unable to cancel my order they say. No response from support team. A suggestion, if you cannot promise and deliver on time please dont take more orders Complete the existing ones first. Besides while taking the order you dont say there are lot of traffic and orders at the moment.",-1
excellent,2
osm app for best cosmetics.. here,2
Wrong product delivered and no exchange policy,-1
best,2
Mind blowing discounts!,2
good,2
easy navigate understand,2
Very useful and best app for cosmetic,2
nice,1
opening time take next new year,2
easy checkin,2
ok boss,1
useful helpful application,2
bad selepas update bluetooth kena hidupkan sepanjang masa notification menganggu serta smartphone cepat habis battery,-1
bad,-1
I luv nykaa,2
excellent,2
easy fast user friendly,2
good nice,2
fast delivery products good,2
useless app,-1
user friendly,1
nice,2
ok,1
oky,1
new normal,1
"This is very useless app . I just installed this app ordered item but I got different products . And then I raise concern noone listening . I send unlimited mails and do unlimited calls to customer care but they even not thinking. I hate this app , product rate is also too high comparitevely other app Plz don't install this app It's just spam No return policy",-1
easy use,2
found lot wealth form health,1
Too good,2
bad application,-1
app excellent efficient,2
easy convenient,2
cannot open updated please assist soon possible,-1
good app infomative,2
nice,1
first experience shopping app highly dissapointed packaging system benefit online shopping receive products half empty broken also purplle cheaper products price compared supportive customer care staff safe delivery guarantee,1
thanks sejahtera,2
updated apps hangs working please assist asap thank,-1
great,2
excellent,2
developers really ignore customers leave working official os update months deserves stars sure way developers treat customers leave dark app future even ghost taking space phone like,2
okay je,1
fast convenient,2
Best and pure online application for cosmetic products,2
trying confirm vaccines slot son system keep showing unable connect server message please advise,-1
ok,1
nice app,1
awesome,2
"I love 8fit! I 1 yr pro membership pretty cheap things considered. I lot allergies dont good guide time. Workouts great lots different choices including yoga specific body workouts. Short workouts true payoff, always amazing! Would definately recommend!",2
good,2
nice,1
In love with this app,2
great application use,2
user friendly,1
great,2
best,2
I am vry disappntd from nykaa even i stop purchasing the products. I reordered a product and they didnt return my money back for an order..they keep on telling me that they will olrdy returned but i dont get my money..worst app ever.,-1
useful,2
best hands annoying like create bountiful picture seconds due easy navagation highly suggest,2
helfull appes,2
excellent,2
cant change location booster vaccination,-1
bad experience repeated tried still keep hanging want update address n profile,-1
app give problem status changed red confirmed case even though rt pcr test negative even updated mysejahtera profile asked ammendment got nothing called cac instead asked call pkd bilik gerakan etc like heck u guys passing around like go work got covid positive guys even bother change quarantine period please make change need secure job,-1
need improvement,-1
dope,1
mysejahtera informative useful application,2
"Nykaa gives the worst service ever. Please don't believe the delivery date 
because its just a hoax.",-1
great,2
great apps,2
"This works amazing! Before I got I literally 200 mb storage, 2 days later I 900! It really works safe helpful. I recommend app. Finally I storage! It takes 10 seconds clear plenty storage! GET THIS APP.",2
fun learning together,2
friendly user latest update,1
fastest way check wherever go tq,2
really enjoy app love workout options workouts get challenging progress feel getting stronger wanted pay app saw reviews year stating free version options would like buy wait ensure bugs fixed first,2
All this while I have ordered a lot from nykaa... Recently I ordered things close to 5k but should say that that have the poorest customer service care... They are really not helpful... They don't respond neither take any responsibility I was at the beginning very happy but now Im not even able to track my order....very disappointed...i don't think I will ever order again,-1
cant check update,-1
great,2
okok,1
easy use tqx,2
helpful information stay safe,2
ok,1
loving,2
faster,2
"Worst app this is , not all products are real , moreover they dont response customer properly and attend their query i have wrote them almost everywhere as i ordered some product which was missing but they did not gave any response its been 22 days now i havnt received any response so guys if u think that in case your product is damaged or missing or expired you can get easy returns as they mention it , then you are wrong my friend its a whole ass fraud you will simply waste your time.",-1
app bad vaccination doses gone cannot generate barcode download vaccination certificate make people life miserable,-1
apps yang bagus,-1
convenient user friendly,1
cant scan scan keep loading main page,-1
wonderful,2
easy use helpful keep tracks,2
slow response scanning screen stuck provide button finish scan,-1
Nykaa provides the best brands with best deals.,2
good experience great discounts,2
fast furious,2
love everything plus,2
easy app,2
sorry greedy love game since started club created go different club game would outstanding happens rated star get attention sorry,-1
problem register already wait minute,-1
friendly user poor management helpdesk useless,-1
Bad Bad,-1
slow gila loading nak masuk app ni,-1
"Previouly it was delivering products in my pincode. Idk what happen suddenly it is showing that, it is not serviceable in my pincode. Please fix it ASAP!",-1
best app,2
great app,2
superb app..offer genuine products,2
akinator weird stupid opinion recommend retarded,-1
great updated version,2
please update android user,-1
The very bad experiences i had with this app.i shopped a lipstick and they sent me different shade ..i was about to return but no response ...pls dont trust them they r not trustworthy.,-1
app need rating app mandatory,-1
great,2
easy,2
fast process,2
fully vaccinated app show vaccinated please fix hard go problem hah,-1
user friendly interface,1
Bad,-1
unable get vaccination cert new id app show vaccination cert verified old id tried many time email helpdesk request delete old account update status helpdesk since last year aug response hotline also closed ppv help also know app helpdesk used purposes many problems resolve disappointed,-1
great,2
bad apps,-1
go site,1
terbaik excellent tidak pernah ada masalah terima kasih malaysia,2
need sign,-1
smooth transition app really helpful,2
done hso days feb feb today th completed profile morning blue hso completed asked update fill form within days contact yes jujur sangat isi borang tu hso based problem apps turn bluetooth allow permission location still stuck allow screen apps stuck screen clear apps restart apps using googe pixel also completed nd dose boosted already sad,-1
everything okay,1
user friendly,1
good,2
nice keep date,1
userful friendly,1
semoga malaysia bebas dripd virus corona aaminn,-1
easy way stay connected government stay updated everything regarding covid pandemic malaysia,2
work part rocky start make life bit easier one,2
useful friendly user,2
good,1
cant update app happen phone oppo pls help,-1
account cant login even login also scan check,-1
overall good simple app wish data example premise owner could pull detail data non sensitive like timestamp customer check,2
easy use,2
great,2
great experience,2
app awesome,2
orders sealpack upto mark delivery fast love u dat,2
please fix bugs fish damn slow app frequently close sesuka hati mak bapak dia,-1
excellent,2
ok,1
nice,1
Gud products fast delivery service,2
hefully,2
easy use every scanning,2
ok membantu,1
ok,1
awsm,2
awesome,2
content available post headline link totally irritating see headline interest hit link see blank page entitled content available fix positive review available also proof reading content headlines full review,2
thank help got fully vaccinated badge already excellent app,-1
great job kkm,2
debugging system,-1
great app user friendly,2
nice,1
downloaded cant register show existing user never registered happened,-1
"I m really sorry but shipping charges thats you guyes are Applying .. It's too much.... Thats why I don't like. And don't want to order anything from nykaa.. And I also want to suggest those people who bought the things from this app... Please stop. Why you guyes are paying extra money. You have another option like flipkart , amazone .. They are giving free home delivery.................. Go with these... Not with nykaa....... Always rubbish...hope that rewiew is helpfull for all you..",-1
Hates & disappointed app,-1
bad,-1
nice,1
Excellent,2
working great keep good work,2
this app is rated,-1
excellent,2
cant update number phone important please fix problem,-1
great app,2
login problem,-1
failed register work smoothly,2
It's a fraud... I ordered tomorrow nd payment done by rewards wallet nd still order not show... Nd I tell customers care they don't respond... Hate it,-1
I just blindly trust Nykaa and I will refer it to everyone who wants to buy beauty products online.,2
awesome,2
Wonderful app. One stop destination for all ur skin care needs.,2
useful,2
greate,2
faster easier,2
friendly use,1
installed trip thought would wifi decided practice offline mode sadly game money play offline want waste got back tried actual game working fine middle game closed mention takes forever load time got back already lost happened lost money really feel like playing anymore,-1
excellent,2
Worst app ever...mail them many times but still didn't get referral balance...Fraud....Going to uninstall.,-1
check thingy kind complicated maybe check next day maybe need improvement parts thank,-1
ok thank much,1
Over priced app,-1
trying update every time stall still difficult search tired seeing categories category benefits getting less less,-1
great,2
First i used to love this app..now their delivery charges are high and abovr rs 1000 the delivery charges are free .. before it was free delivery for 500 n above,-1
